timestamp,vix_close
2025-08-22 09:15:00,14.2
2025-08-22 09:16:00,14.22
2025-08-22 09:17:00,14.2
2025-08-22 09:18:00,14.14
2025-08-22 09:19:00,14.11
2025-08-22 09:20:00,14.17
2025-08-22 09:21:00,14.13
2025-08-22 09:22:00,14.18
2025-08-22 09:23:00,14.19
2025-08-22 09:24:00,14.24
2025-08-22 09:25:00,14.28
2025-08-22 09:26:00,14.29
2025-08-22 09:27:00,14.24
2025-08-22 09:28:00,14.24
2025-08-22 09:29:00,14.23
2025-08-22 09:30:00,14.3
2025-08-22 09:31:00,14.38
2025-08-22 09:32:00,14.37
2025-08-22 09:33:00,14.41
2025-08-22 09:34:00,14.29
2025-08-22 09:35:00,14.26
2025-08-22 09:36:00,14.24
2025-08-22 09:37:00,14.23
2025-08-22 09:38:00,14.17
2025-08-22 09:39:00,14.15
2025-08-22 09:40:00,14.17
2025-08-22 09:41:00,14.23
2025-08-22 09:42:00,14.25
2025-08-22 09:43:00,14.22
2025-08-22 09:44:00,14.22
2025-08-22 09:45:00,14.21
2025-08-22 09:46:00,14.2
2025-08-22 09:47:00,14.19
2025-08-22 09:48:00,14.24
2025-08-22 09:49:00,14.17
2025-08-22 09:50:00,14.22
2025-08-22 09:51:00,14.2
2025-08-22 09:52:00,14.21
2025-08-22 09:53:00,14.24
2025-08-22 09:54:00,14.22
2025-08-22 09:55:00,14.2
2025-08-22 09:56:00,14.12
2025-08-22 09:57:00,14.09
2025-08-22 09:58:00,14.08
2025-08-22 09:59:00,14.08
2025-08-22 10:00:00,14.12
2025-08-22 10:01:00,14.17
2025-08-22 10:02:00,14.13
2025-08-22 10:03:00,14.15
2025-08-22 10:04:00,14.12
2025-08-22 10:05:00,14.18
2025-08-22 10:06:00,14.21
2025-08-22 10:07:00,14.22
2025-08-22 10:08:00,14.22
2025-08-22 10:09:00,14.19
2025-08-22 10:10:00,14.12
2025-08-22 10:11:00,14.1
2025-08-22 10:12:00,14.05
2025-08-22 10:13:00,13.98
2025-08-22 10:14:00,13.96
2025-08-22 10:15:00,13.99
2025-08-22 10:16:00,14.02
2025-08-22 10:17:00,14.05
2025-08-22 10:18:00,13.99
2025-08-22 10:19:00,14.01
2025-08-22 10:20:00,14.02
2025-08-22 10:21:00,14.05
2025-08-22 10:22:00,14.01
2025-08-22 10:23:00,13.95
2025-08-22 10:24:00,13.99
2025-08-22 10:25:00,14.01
2025-08-22 10:26:00,14.03
2025-08-22 10:27:00,14.07
2025-08-22 10:28:00,14.04
2025-08-22 10:29:00,14.04
2025-08-22 10:30:00,14.07
2025-08-22 10:31:00,14.06
2025-08-22 10:32:00,14.07
2025-08-22 10:33:00,14.11
2025-08-22 10:34:00,14.2
2025-08-22 10:35:00,14.22
2025-08-22 10:36:00,14.27
2025-08-22 10:37:00,14.29
2025-08-22 10:38:00,14.33
2025-08-22 10:39:00,14.36
2025-08-22 10:40:00,14.32
2025-08-22 10:41:00,14.27
2025-08-22 10:42:00,14.25
2025-08-22 10:43:00,14.26
2025-08-22 10:44:00,14.33
2025-08-22 10:45:00,14.39
2025-08-22 10:46:00,14.36
2025-08-22 10:47:00,14.45
2025-08-22 10:48:00,14.43
2025-08-22 10:49:00,14.4
2025-08-22 10:50:00,14.33
2025-08-22 10:51:00,14.32
2025-08-22 10:52:00,14.32
2025-08-22 10:53:00,14.35
2025-08-22 10:54:00,14.3
2025-08-22 10:55:00,14.27
2025-08-22 10:56:00,14.3
2025-08-22 10:57:00,14.29
2025-08-22 10:58:00,14.25
2025-08-22 10:59:00,14.24
2025-08-22 11:00:00,14.26
2025-08-22 11:01:00,14.2
2025-08-22 11:02:00,14.19
2025-08-22 11:03:00,14.17
2025-08-22 11:04:00,14.16
2025-08-22 11:05:00,14.2
2025-08-22 11:06:00,14.18
2025-08-22 11:07:00,14.18
2025-08-22 11:08:00,14.18
2025-08-22 11:09:00,14.14
2025-08-22 11:10:00,14.15
2025-08-22 11:11:00,14.12
2025-08-22 11:12:00,14.1
2025-08-22 11:13:00,14.09
2025-08-22 11:14:00,14.1
2025-08-22 11:15:00,14.08
2025-08-22 11:16:00,14.1
2025-08-22 11:17:00,14.08
2025-08-22 11:18:00,14.1
2025-08-22 11:19:00,14.04
2025-08-22 11:20:00,14.02
2025-08-22 11:21:00,14.03
2025-08-22 11:22:00,13.93
2025-08-22 11:23:00,13.86
2025-08-22 11:24:00,13.83
2025-08-22 11:25:00,13.77
2025-08-22 11:26:00,13.81
2025-08-22 11:27:00,13.74
2025-08-22 11:28:00,13.66
2025-08-22 11:29:00,13.65
2025-08-22 11:30:00,13.67
2025-08-22 11:31:00,13.64
2025-08-22 11:32:00,13.65
2025-08-22 11:33:00,13.66
2025-08-22 11:34:00,13.65
2025-08-22 11:35:00,13.68
2025-08-22 11:36:00,13.69
2025-08-22 11:37:00,13.72
2025-08-22 11:38:00,13.74
2025-08-22 11:39:00,13.71
2025-08-22 11:40:00,13.72
2025-08-22 11:41:00,13.78
2025-08-22 11:42:00,13.88
2025-08-22 11:43:00,13.83
2025-08-22 11:44:00,13.81
2025-08-22 11:45:00,13.76
2025-08-22 11:46:00,13.77
2025-08-22 11:47:00,13.69
2025-08-22 11:48:00,13.66
2025-08-22 11:49:00,13.66
2025-08-22 11:50:00,13.64
2025-08-22 11:51:00,13.67
2025-08-22 11:52:00,13.63
2025-08-22 11:53:00,13.6
2025-08-22 11:54:00,13.59
2025-08-22 11:55:00,13.55
2025-08-22 11:56:00,13.58
2025-08-22 11:57:00,13.62
2025-08-22 11:58:00,13.56
2025-08-22 11:59:00,13.52
2025-08-22 12:00:00,13.58
2025-08-22 12:01:00,13.59
2025-08-22 12:02:00,13.59
2025-08-22 12:03:00,13.58
2025-08-22 12:04:00,13.65
2025-08-22 12:05:00,13.59
2025-08-22 12:06:00,13.59
2025-08-22 12:07:00,13.63
2025-08-22 12:08:00,13.56
2025-08-22 12:09:00,13.63
2025-08-22 12:10:00,13.65
2025-08-22 12:11:00,13.67
2025-08-22 12:12:00,13.65
2025-08-22 12:13:00,13.69
2025-08-22 12:14:00,13.72
2025-08-22 12:15:00,13.78
2025-08-22 12:16:00,13.74
2025-08-22 12:17:00,13.77
2025-08-22 12:18:00,13.75
2025-08-22 12:19:00,13.74
2025-08-22 12:20:00,13.74
