timestamp,near_month_expiry,near_month_open,near_month_high,near_month_low,near_month_close,near_month_volume,mid_month_expiry,mid_month_open,mid_month_high,mid_month_low,mid_month_close,mid_month_volume
2025-08-28 09:15:00,2025-08-28,23849.85,23850.91,23849.76,23850.43,14043,2025-09-25,23915.06,23917.83,23914.85,23917.55,1919
2025-08-28 09:16:00,2025-08-28,23832.66,23833.43,23831.78,23831.97,14659,2025-09-25,23909.78,23910.01,23907.9,23909.42,1797
2025-08-28 09:17:00,2025-08-28,23842.72,23842.77,23838.87,23839.2,15428,2025-09-25,23914.3,23915.91,23914.01,23915.03,7366
2025-08-28 09:18:00,2025-08-28,23821.66,23821.82,23819.38,23820.25,16512,2025-09-25,23894.72,23896.92,23894.48,23896.35,4466
2025-08-28 09:19:00,2025-08-28,23804.24,23805.19,23803.3,23804.85,22397,2025-09-25,23882.51,23883.61,23880.19,23881.07,7765
2025-08-28 09:20:00,2025-08-28,23797.74,23798.36,23794.88,23795.18,10114,2025-09-25,23866.5,23869.63,23865.73,23868.96,6063
2025-08-28 09:21:00,2025-08-28,23778.19,23778.53,23778.02,23778.25,6604,2025-09-25,23852.78,23853.04,23851.65,23852.38,11194
2025-08-28 09:22:00,2025-08-28,23769.65,23770.96,23769.38,23770.49,22073,2025-09-25,23848.0,23848.06,23845.48,23846.58,4521
2025-08-28 09:23:00,2025-08-28,23766.66,23767.05,23766.48,23767.02,20198,2025-09-25,23845.21,23845.59,23844.14,23845.35,8631
2025-08-28 09:24:00,2025-08-28,23782.8,23783.59,23778.67,23779.51,18632,2025-09-25,23852.28,23853.63,23852.12,23852.87,2067
2025-08-28 09:25:00,2025-08-28,23777.46,23777.61,23775.01,23775.07,25084,2025-09-25,23847.54,23849.16,23847.01,23849.07,11536
2025-08-28 09:26:00,2025-08-28,23751.85,23752.49,23751.18,23751.46,27379,2025-09-25,23829.4,23831.38,23829.31,23830.12,11797
2025-08-28 09:27:00,2025-08-28,23769.03,23770.35,23768.0,23768.94,26291,2025-09-25,23847.47,23848.17,23844.79,23845.26,9260
2025-08-28 09:28:00,2025-08-28,23753.51,23754.87,23752.33,23754.61,5365,2025-09-25,23834.08,23834.11,23833.07,23833.4,6384
2025-08-28 09:29:00,2025-08-28,23752.44,23754.67,23752.44,23754.05,9883,2025-09-25,23831.35,23833.02,23830.91,23832.75,3809
2025-08-28 09:30:00,2025-08-28,23762.04,23762.68,23760.46,23761.02,23934,2025-09-25,23836.39,23836.74,23831.96,23833.14,10031
2025-08-28 09:31:00,2025-08-28,23763.84,23764.49,23763.66,23764.09,16529,2025-09-25,23837.17,23839.76,23836.55,23839.02,9231
2025-08-28 09:32:00,2025-08-28,23779.35,23781.29,23778.92,23781.06,7104,2025-09-25,23860.45,23861.07,23859.3,23859.74,3830
2025-08-28 09:33:00,2025-08-28,23790.49,23790.7,23788.79,23788.9,24651,2025-09-25,23863.22,23865.47,23862.5,23864.66,6237
2025-08-28 09:34:00,2025-08-28,23771.14,23775.43,23770.39,23774.6,17119,2025-09-25,23847.64,23849.79,23847.34,23849.22,6359
2025-08-28 09:35:00,2025-08-28,23807.28,23808.72,23807.12,23808.42,8851,2025-09-25,23885.88,23886.95,23884.03,23884.11,10177
2025-08-28 09:36:00,2025-08-28,23810.26,23811.23,23808.87,23809.95,22199,2025-09-25,23890.27,23893.11,23889.83,23892.69,8680
2025-08-28 09:37:00,2025-08-28,23806.56,23809.16,23806.19,23808.52,12476,2025-09-25,23883.18,23888.82,23883.13,23888.3,8253
2025-08-28 09:38:00,2025-08-28,23823.88,23825.25,23823.52,23824.52,26878,2025-09-25,23899.29,23901.02,23898.83,23900.96,8323
2025-08-28 09:39:00,2025-08-28,23827.45,23828.39,23827.29,23828.05,15862,2025-09-25,23906.83,23909.49,23906.33,23909.23,4339
2025-08-28 09:40:00,2025-08-28,23837.73,23838.08,23834.28,23834.86,16547,2025-09-25,23911.58,23914.0,23910.97,23913.89,5402
2025-08-28 09:41:00,2025-08-28,23872.07,23873.98,23871.34,23873.28,18670,2025-09-25,23958.62,23959.12,23956.17,23956.2,1979
2025-08-28 09:42:00,2025-08-28,23867.18,23868.88,23867.05,23868.39,8563,2025-09-25,23945.13,23945.78,23943.1,23943.86,9762
2025-08-28 09:43:00,2025-08-28,23864.6,23865.0,23863.55,23864.07,13137,2025-09-25,23942.81,23943.9,23941.52,23941.93,6046
2025-08-28 09:44:00,2025-08-28,23863.98,23865.12,23863.14,23864.23,17053,2025-09-25,23948.31,23949.27,23946.91,23947.53,6101
2025-08-28 09:45:00,2025-08-28,23882.16,23883.26,23882.15,23882.48,22207,2025-09-25,23960.86,23963.03,23960.55,23962.01,4076
2025-08-28 09:46:00,2025-08-28,23858.37,23859.11,23857.85,23859.1,22202,2025-09-25,23940.37,23942.44,23939.97,23941.34,3698
2025-08-28 09:47:00,2025-08-28,23830.56,23831.01,23827.73,23828.16,12894,2025-09-25,23907.41,23908.7,23905.93,23907.76,7672
2025-08-28 09:48:00,2025-08-28,23818.09,23820.7,23817.63,23820.09,25263,2025-09-25,23898.68,23900.26,23895.5,23896.83,3941
2025-08-28 09:49:00,2025-08-28,23792.85,23793.84,23791.94,23793.14,18097,2025-09-25,23871.47,23873.29,23871.0,23873.08,2174
2025-08-28 09:50:00,2025-08-28,23788.58,23788.74,23787.04,23787.46,5810,2025-09-25,23866.67,23869.7,23865.11,23868.46,9558
2025-08-28 09:51:00,2025-08-28,23792.2,23795.84,23792.06,23795.4,21255,2025-09-25,23881.29,23881.64,23878.38,23878.5,5452
2025-08-28 09:52:00,2025-08-28,23781.26,23782.81,23780.94,23781.72,18951,2025-09-25,23863.92,23867.42,23863.23,23865.88,5492
2025-08-28 09:53:00,2025-08-28,23757.27,23758.5,23756.3,23758.45,10653,2025-09-25,23841.48,23842.13,23839.71,23841.47,6028
2025-08-28 09:54:00,2025-08-28,23762.95,23763.0,23760.18,23760.77,11484,2025-09-25,23839.89,23840.92,23839.29,23840.6,10057
2025-08-28 09:55:00,2025-08-28,23770.97,23772.48,23769.68,23772.11,13880,2025-09-25,23852.49,23853.34,23851.08,23852.2,4868
2025-08-28 09:56:00,2025-08-28,23748.8,23748.81,23747.74,23747.9,16867,2025-09-25,23826.36,23831.26,23825.99,23830.35,9459
2025-08-28 09:57:00,2025-08-28,23761.12,23761.8,23760.92,23761.76,10567,2025-09-25,23832.25,23834.97,23831.7,23834.49,11365
2025-08-28 09:58:00,2025-08-28,23773.44,23774.67,23772.47,23774.33,15124,2025-09-25,23857.34,23861.27,23856.05,23860.62,8439
2025-08-28 09:59:00,2025-08-28,23787.73,23788.13,23787.01,23787.59,26973,2025-09-25,23866.79,23868.22,23866.38,23867.38,6032
2025-08-28 10:00:00,2025-08-28,23804.46,23806.85,23804.33,23806.82,8795,2025-09-25,23890.33,23890.4,23889.6,23889.95,9351
2025-08-28 10:01:00,2025-08-28,23840.85,23841.27,23839.79,23840.28,4158,2025-09-25,23925.44,23925.61,23924.57,23925.17,6307
