timestamp,near_month_expiry,near_month_open,near_month_high,near_month_low,near_month_close,near_month_volume,mid_month_expiry,mid_month_open,mid_month_high,mid_month_low,mid_month_close,mid_month_volume
2025-09-01 09:15:00,2025-08-28,23811.42,23812.8,23811.3,23812.62,7461,2025-09-25,23913.3,23913.31,23912.97,23913.08,3004
2025-09-01 09:16:00,2025-08-28,23808.73,23809.7,23806.53,23807.62,17812,2025-09-25,23908.64,23910.31,23907.87,23908.3,4527
2025-09-01 09:17:00,2025-08-28,23837.43,23838.49,23835.87,23836.77,10979,2025-09-25,23940.48,23941.13,23938.49,23939.26,3547
2025-09-01 09:18:00,2025-08-28,23794.19,23795.52,23793.62,23795.5,18584,2025-09-25,23893.81,23897.6,23893.59,23896.86,1781
2025-09-01 09:19:00,2025-08-28,23791.59,23793.48,23791.4,23793.37,9881,2025-09-25,23896.71,23898.89,23896.02,23898.01,7311
2025-09-01 09:20:00,2025-08-28,23819.24,23819.33,23818.69,23818.84,15677,2025-09-25,23918.61,23921.63,23917.87,23921.26,8849
2025-09-01 09:21:00,2025-08-28,23822.95,23823.65,23819.64,23820.59,9189,2025-09-25,23920.35,23921.86,23919.81,23921.82,8302
2025-09-01 09:22:00,2025-08-28,23831.65,23832.95,23831.09,23832.68,22238,2025-09-25,23933.06,23934.51,23933.0,23934.25,5574
2025-09-01 09:23:00,2025-08-28,23834.12,23834.94,23832.52,23834.48,10163,2025-09-25,23933.55,23935.07,23932.46,23934.91,7327
2025-09-01 09:24:00,2025-08-28,23826.57,23827.54,23825.2,23826.13,17892,2025-09-25,23925.15,23925.19,23924.63,23924.97,2488
2025-09-01 09:25:00,2025-08-28,23795.46,23796.61,23792.82,23793.12,17562,2025-09-25,23890.51,23891.82,23890.1,23891.37,3120
2025-09-01 09:26:00,2025-08-28,23794.11,23794.43,23793.14,23794.28,17651,2025-09-25,23898.73,23900.02,23897.57,23899.34,11283
2025-09-01 09:27:00,2025-08-28,23782.93,23783.08,23781.6,23782.42,16889,2025-09-25,23885.62,23885.91,23881.76,23883.69,9495
2025-09-01 09:28:00,2025-08-28,23772.48,23772.68,23771.12,23771.45,11432,2025-09-25,23870.15,23871.03,23868.13,23868.53,11188
2025-09-01 09:29:00,2025-08-28,23766.08,23766.33,23763.39,23763.97,23506,2025-09-25,23865.26,23868.05,23864.97,23867.25,11125
2025-09-01 09:30:00,2025-08-28,23788.52,23789.07,23788.0,23788.94,21798,2025-09-25,23893.12,23893.94,23892.23,23893.36,8318
2025-09-01 09:31:00,2025-08-28,23825.47,23825.79,23824.43,23824.74,16600,2025-09-25,23926.73,23929.86,23926.62,23929.52,11246
2025-09-01 09:32:00,2025-08-28,23827.94,23828.33,23827.49,23828.06,24356,2025-09-25,23931.67,23934.02,23931.37,23933.26,5875
2025-09-01 09:33:00,2025-08-28,23822.18,23822.93,23820.7,23821.21,6055,2025-09-25,23920.54,23922.12,23920.42,23920.74,1537
2025-09-01 09:34:00,2025-08-28,23810.38,23810.52,23805.23,23806.52,9603,2025-09-25,23907.4,23907.74,23906.67,23906.8,2156
2025-09-01 09:35:00,2025-08-28,23810.72,23812.05,23810.5,23810.8,9076,2025-09-25,23911.91,23912.37,23911.59,23912.23,2649
2025-09-01 09:36:00,2025-08-28,23838.3,23838.79,23838.11,23838.64,27545,2025-09-25,23936.32,23939.84,23935.37,23939.79,2501
2025-09-01 09:37:00,2025-08-28,23837.73,23838.09,23835.32,23836.01,19045,2025-09-25,23939.92,23941.39,23937.12,23937.86,5192
2025-09-01 09:38:00,2025-08-28,23799.39,23799.63,23798.12,23798.48,8181,2025-09-25,23902.99,23905.02,23901.93,23901.96,8863
2025-09-01 09:39:00,2025-08-28,23808.83,23808.84,23808.31,23808.54,27293,2025-09-25,23908.87,23910.28,23908.03,23908.51,9801
2025-09-01 09:40:00,2025-08-28,23823.72,23824.04,23822.49,23823.37,27405,2025-09-25,23922.49,23923.59,23922.15,23923.51,7697
2025-09-01 09:41:00,2025-08-28,23802.0,23803.27,23801.22,23802.54,20165,2025-09-25,23900.19,23904.14,23899.96,23902.64,3037
2025-09-01 09:42:00,2025-08-28,23801.43,23803.25,23801.41,23802.46,24457,2025-09-25,23900.69,23902.95,23898.84,23901.79,9352
2025-09-01 09:43:00,2025-08-28,23810.83,23811.11,23808.52,23809.26,10096,2025-09-25,23910.3,23911.07,23908.82,23909.55,5225
2025-09-01 09:44:00,2025-08-28,23808.08,23808.89,23807.9,23808.26,18661,2025-09-25,23910.42,23911.51,23910.29,23910.49,1636
2025-09-01 09:45:00,2025-08-28,23797.89,23798.76,23796.3,23796.55,23629,2025-09-25,23896.86,23898.49,23895.89,23898.47,4446
2025-09-01 09:46:00,2025-08-28,23812.29,23812.57,23811.6,23811.77,5799,2025-09-25,23913.17,23914.99,23912.48,23914.85,4971
2025-09-01 09:47:00,2025-08-28,23805.68,23806.14,23805.56,23805.84,24058,2025-09-25,23907.15,23909.44,23905.71,23908.26,4379
2025-09-01 09:48:00,2025-08-28,23785.32,23785.54,23783.81,23784.98,16940,2025-09-25,23882.5,23882.64,23881.8,23882.4,10024
2025-09-01 09:49:00,2025-08-28,23753.8,23754.47,23752.63,23753.82,4809,2025-09-25,23856.96,23857.14,23853.63,23854.33,9479
2025-09-01 09:50:00,2025-08-28,23773.14,23774.97,23770.74,23772.22,10928,2025-09-25,23869.81,23871.32,23869.35,23870.86,8803
2025-09-01 09:51:00,2025-08-28,23785.35,23786.14,23782.97,23783.99,8514,2025-09-25,23879.04,23880.84,23878.3,23880.1,2959
2025-09-01 09:52:00,2025-08-28,23781.94,23783.98,23781.11,23783.42,22919,2025-09-25,23886.21,23886.54,23885.08,23886.01,9982
2025-09-01 09:53:00,2025-08-28,23775.03,23776.86,23774.56,23776.4,27551,2025-09-25,23877.5,23877.94,23877.0,23877.49,8610
2025-09-01 09:54:00,2025-08-28,23769.57,23769.83,23767.9,23768.6,15181,2025-09-25,23871.87,23872.47,23871.27,23872.18,3545
2025-09-01 09:55:00,2025-08-28,23754.62,23755.05,23751.86,23752.69,11085,2025-09-25,23851.81,23852.84,23851.29,23851.59,8304
2025-09-01 09:56:00,2025-08-28,23750.98,23751.69,23748.96,23749.24,12306,2025-09-25,23846.14,23847.4,23845.46,23846.38,6576
2025-09-01 09:57:00,2025-08-28,23716.76,23717.17,23714.81,23714.94,8033,2025-09-25,23811.92,23812.59,23809.4,23811.54,6113
2025-09-01 09:58:00,2025-08-28,23707.83,23709.44,23706.84,23708.54,9711,2025-09-25,23802.41,23807.09,23801.81,23805.89,2677
2025-09-01 09:59:00,2025-08-28,23700.11,23700.38,23698.67,23699.57,7166,2025-09-25,23805.81,23806.77,23804.22,23804.63,6942
2025-09-01 10:00:00,2025-08-28,23709.45,23710.14,23709.05,23709.66,12794,2025-09-25,23806.26,23807.39,23805.1,23806.58,2549
2025-09-01 10:01:00,2025-08-28,23707.52,23708.32,23707.4,23708.18,16343,2025-09-25,23812.54,23813.08,23811.93,23812.24,3224
2025-09-01 10:02:00,2025-08-28,23719.72,23721.58,23719.05,23721.24,4370,2025-09-25,23823.09,23823.32,23822.45,23822.6,2891
2025-09-01 10:03:00,2025-08-28,23742.12,23742.43,23740.49,23740.55,14764,2025-09-25,23844.89,23845.5,23843.89,23844.28,11518
2025-09-01 10:04:00,2025-08-28,23755.33,23756.8,23754.84,23755.99,9800,2025-09-25,23865.52,23866.67,23861.37,23862.9,4491
2025-09-01 10:05:00,2025-08-28,23763.57,23763.65,23762.61,23763.27,9823,2025-09-25,23867.09,23868.98,23866.01,23866.41,5229
2025-09-01 10:06:00,2025-08-28,23761.24,23764.84,23760.59,23763.97,21215,2025-09-25,23861.61,23863.76,23861.2,23863.27,4881
2025-09-01 10:07:00,2025-08-28,23747.96,23749.0,23747.62,23748.82,19781,2025-09-25,23852.34,23853.02,23850.54,23850.55,10931
2025-09-01 10:08:00,2025-08-28,23759.84,23760.73,23759.39,23759.93,26708,2025-09-25,23858.37,23860.19,23857.34,23857.79,7411
2025-09-01 10:09:00,2025-08-28,23786.68,23786.69,23784.88,23784.97,21117,2025-09-25,23886.75,23887.68,23883.45,23884.51,11151
2025-09-01 10:10:00,2025-08-28,23791.76,23792.34,23789.03,23790.14,22880,2025-09-25,23894.02,23894.23,23893.79,23893.93,4649
2025-09-01 10:11:00,2025-08-28,23817.87,23818.89,23817.67,23818.79,7168,2025-09-25,23919.53,23920.72,23918.66,23918.73,2705
2025-09-01 10:12:00,2025-08-28,23797.7,23798.48,23797.2,23797.68,25169,2025-09-25,23891.7,23895.29,23890.24,23895.04,7340
2025-09-01 10:13:00,2025-08-28,23778.39,23780.12,23777.75,23779.68,11112,2025-09-25,23881.3,23882.52,23880.61,23881.99,5128
2025-09-01 10:14:00,2025-08-28,23792.84,23793.63,23791.66,23792.44,10760,2025-09-25,23888.02,23892.36,23887.93,23891.46,9920
2025-09-01 10:15:00,2025-08-28,23794.83,23797.17,23793.94,23796.16,18697,2025-09-25,23899.42,23899.51,23896.37,23897.38,10733
2025-09-01 10:16:00,2025-08-28,23819.22,23819.96,23816.22,23817.35,11242,2025-09-25,23916.21,23916.27,23913.54,23914.35,6462
2025-09-01 10:17:00,2025-08-28,23814.51,23815.55,23814.06,23815.36,6921,2025-09-25,23916.0,23916.2,23915.29,23915.73,11699
2025-09-01 10:18:00,2025-08-28,23803.58,23804.65,23803.51,23803.94,16284,2025-09-25,23899.98,23900.35,23899.56,23900.23,7306
2025-09-01 10:19:00,2025-08-28,23801.93,23802.26,23798.92,23799.52,13928,2025-09-25,23900.41,23900.61,23897.89,23898.92,4344
2025-09-01 10:20:00,2025-08-28,23777.51,23778.42,23776.39,23776.75,26761,2025-09-25,23881.13,23881.54,23877.73,23878.29,6634
2025-09-01 10:21:00,2025-08-28,23761.16,23761.65,23760.77,23761.44,20194,2025-09-25,23867.12,23868.23,23864.15,23864.75,1891
2025-09-01 10:22:00,2025-08-28,23777.68,23777.76,23775.22,23775.88,10622,2025-09-25,23876.39,23878.46,23874.2,23875.14,9942
2025-09-01 10:23:00,2025-08-28,23788.08,23788.15,23786.84,23787.57,6108,2025-09-25,23896.29,23898.38,23895.42,23895.95,2565
2025-09-01 10:24:00,2025-08-28,23793.94,23794.91,23792.6,23793.06,23436,2025-09-25,23896.07,23898.09,23893.41,23893.87,4741
2025-09-01 10:25:00,2025-08-28,23767.67,23767.86,23767.37,23767.52,10573,2025-09-25,23870.3,23873.3,23869.49,23872.78,7435
2025-09-01 10:26:00,2025-08-28,23763.03,23763.08,23761.96,23762.27,8678,2025-09-25,23857.67,23861.24,23856.8,23861.17,1951
2025-09-01 10:27:00,2025-08-28,23743.74,23744.27,23742.45,23744.14,4106,2025-09-25,23845.15,23845.79,23842.75,23843.87,2332
2025-09-01 10:28:00,2025-08-28,23765.21,23766.45,23764.17,23764.39,7804,2025-09-25,23857.93,23860.41,23856.95,23859.69,8809
2025-09-01 10:29:00,2025-08-28,23752.44,23754.92,23752.05,23753.97,11150,2025-09-25,23856.13,23856.75,23855.8,23856.54,2253
2025-09-01 10:30:00,2025-08-28,23738.39,23738.53,23736.45,23737.05,4346,2025-09-25,23841.51,23842.59,23840.99,23841.29,6509
