timestamp,strike,side,open,high,low,close,volume,oi,iv
2025-08-22 09:00:00,23500,CE,1137.09,1166.87,1155.12,1165.23,0,20691,0.1607
2025-08-22 09:00:00,23500,PE,458.58,452.23,449.47,450.07,0,20827,0.1557
2025-08-22 09:00:00,23550,CE,1061.96,1066.18,1044.85,1055.88,0,20370,0.1597
2025-08-22 09:00:00,23550,PE,424.69,423.44,419.76,422.92,0,22376,0.1621
2025-08-22 09:00:00,23600,CE,1050.05,1059.1,1041.92,1050.2,0,21309,0.1628
2025-08-22 09:00:00,23600,PE,482.74,484.21,477.13,477.51,0,23885,0.1587
2025-08-22 09:00:00,23650,CE,1004.5,996.26,988.72,994.82,0,23402,0.1558
2025-08-22 09:00:00,23650,PE,470.78,471.91,463.98,470.1,0,23342,0.1632
2025-08-22 09:00:00,23700,CE,945.94,951.83,940.74,945.72,0,24552,0.1594
2025-08-22 09:00:00,23700,PE,458.31,464.06,459.04,459.5,0,24690,0.1572
2025-08-22 09:00:00,23750,CE,911.23,918.66,903.04,912.64,0,27103,0.161
2025-08-22 09:00:00,23750,PE,449.83,457.1,450.91,450.95,0,26428,0.1629
2025-08-22 09:00:00,23800,CE,837.81,843.88,827.71,834.12,0,26568,0.16
2025-08-22 09:00:00,23800,PE,459.14,465.27,461.08,461.85,0,28326,0.1618
2025-08-22 09:00:00,23850,CE,793.67,795.26,783.0,787.47,0,28959,0.1592
2025-08-22 09:00:00,23850,PE,462.94,466.98,455.44,458.23,0,28324,0.1617
2025-08-22 09:00:00,23900,CE,757.71,755.91,746.69,753.72,0,33335,0.1614
2025-08-22 09:00:00,23900,PE,437.22,446.56,440.83,441.26,0,31226,0.1601
2025-08-22 09:00:00,23950,CE,667.45,672.47,668.13,669.8,0,34755,0.161
2025-08-22 09:00:00,23950,PE,392.11,397.08,391.73,394.81,0,33062,0.159
2025-08-22 09:00:00,24000,CE,634.57,642.52,634.65,639.23,0,36519,0.1657
2025-08-22 09:00:00,24000,PE,463.31,467.15,457.38,459.95,0,36705,0.1568
2025-08-22 09:00:00,24050,CE,581.22,589.84,579.41,584.68,0,38976,0.1574
2025-08-22 09:00:00,24050,PE,445.3,454.61,439.32,448.33,0,42334,0.1595
2025-08-22 09:00:00,24100,CE,559.72,569.41,561.16,563.51,0,43600,0.1613
2025-08-22 09:00:00,24100,PE,460.58,466.07,461.0,462.71,0,44684,0.1596
2025-08-22 09:00:00,24150,CE,503.25,502.51,491.89,500.13,0,49369,0.1597
2025-08-22 09:00:00,24150,PE,465.4,464.85,460.31,461.17,0,48824,0.1634
2025-08-22 09:00:00,24200,CE,471.42,473.7,468.11,470.97,0,55342,0.1619
2025-08-22 09:00:00,24200,PE,428.94,436.91,433.93,435.08,0,55263,0.1574
2025-08-22 09:00:00,24250,CE,416.64,415.89,409.32,413.68,0,47427,0.1603
2025-08-22 09:00:00,24250,PE,504.55,507.69,495.36,503.08,0,49783,0.1575
2025-08-22 09:00:00,24300,CE,447.92,449.73,441.34,444.8,0,42810,0.1613
2025-08-22 09:00:00,24300,PE,522.94,522.8,521.75,521.96,0,44093,0.158
2025-08-22 09:00:00,24350,CE,467.74,470.52,466.26,470.47,0,39899,0.161
2025-08-22 09:00:00,24350,PE,591.95,595.56,590.3,591.6,0,40231,0.1581
2025-08-22 09:00:00,24400,CE,446.43,459.55,448.21,448.88,0,35449,0.1579
2025-08-22 09:00:00,24400,PE,628.81,635.45,630.37,634.24,0,37967,0.1598
2025-08-22 09:00:00,24450,CE,431.57,435.91,425.14,430.09,0,34049,0.1574
2025-08-22 09:00:00,24450,PE,686.55,680.18,675.03,677.59,0,32618,0.1611
2025-08-22 09:00:00,24500,CE,425.57,420.88,417.29,419.84,0,29990,0.1577
2025-08-22 09:00:00,24500,PE,733.62,747.23,743.64,744.49,0,32136,0.1602
2025-08-22 09:00:00,24550,CE,440.51,441.72,434.58,438.12,0,30556,0.1592
2025-08-22 09:00:00,24550,PE,805.35,815.58,788.89,802.5,0,30080,0.1602
2025-08-22 09:00:00,24600,CE,448.12,450.62,439.26,444.94,0,28942,0.159
2025-08-22 09:00:00,24600,PE,882.39,906.02,871.17,883.48,0,29088,0.1607
2025-08-22 09:00:00,24650,CE,463.17,473.81,460.87,465.18,0,27929,0.1596
2025-08-22 09:00:00,24650,PE,888.09,885.96,870.29,873.73,0,28372,0.1618
2025-08-22 09:00:00,24700,CE,439.61,441.2,432.25,438.04,0,26538,0.1557
2025-08-22 09:00:00,24700,PE,905.23,929.75,909.84,913.46,0,26182,0.1553
2025-08-22 09:00:00,24750,CE,455.72,469.33,446.0,454.59,0,23429,0.16
2025-08-22 09:00:00,24750,PE,1017.67,1044.84,997.91,1012.6,0,23721,0.1631
2025-08-22 09:00:00,24800,CE,450.64,449.5,443.5,446.69,0,23004,0.1604
2025-08-22 09:00:00,24800,PE,1028.04,1045.09,1029.73,1033.01,0,21217,0.1604
2025-08-22 09:00:00,24850,CE,440.4,446.27,434.93,442.99,0,22194,0.1577
2025-08-22 09:00:00,24850,PE,1119.04,1124.37,1108.53,1111.84,0,21837,0.158
2025-08-22 09:00:00,24900,CE,481.45,474.55,465.6,473.63,0,20602,0.159
2025-08-22 09:00:00,24900,PE,1157.15,1164.41,1147.51,1156.01,0,21859,0.1598
2025-08-22 09:05:00,23500,CE,1166.36,1185.33,1149.13,1164.35,0,21270,0.1622
2025-08-22 09:05:00,23500,PE,439.64,436.08,431.27,433.65,0,22251,0.1619
